zone_id;pop_total;pop_empl
101001;17614.00862204386;10840.875428973493
201001;227835.77543226045;116659.02976411124
201002;157774.22622583775;104161.58407304488
201003;284220.69346076844;149956.3633443023
201004;182204.6514143225;97989.53955077655
201005;150127.63423995487;100490.88032737009
201006;186865.3608941374;177427.80958862972
201007;274430.74664875556;196547.95096243743
201008;152690.00436617865;108006.98290348008
201009;126741.50459025218;72986.1192291125
201010;75894.86801053389;43846.42294326264
301001;259204.15861406107;205029.21316574467
301002;400465.6343250214;208115.3416802349
301003;34898.65987097092;17456.110043604585
401001;64024.30489036394;54406.27795807084
401002;481777.49295465654;292972.6105055703
401003;113031.69627738021;111205.52565305363
501001;402868.70943465177;369672.11603472277
501002;145207.35767452998;140861.83264280795
501003;953634.4061165465;477224.3222299153
601001;288278.7824459453;196534.7431741417
701001;245461.38399144166;150158.04178240322
701002;254876.22292230366;226825.98179631814
801001;324690.2599790572;297573.7536947973
901001;146467.10934693884;99921.09498355564
901002;290002.37007458037;165478.4562163884
901003;52247.48452501304;26964.882917261493
1001001;99773.20572761257;98808.48327058546
1001002;883710.5193964463;756036.2128648502
1001003;1101624.8743052052;954674.1747790725
1001004;738936.8609942838;417350.2648638511
1101001;1162560.2257799124;702318.7772431347
1101002;2101784.6429675175;1084140.7037059192
1201001;1167496.6870404445;638269.8940468596
1301001;1297548.0591620263;660539.046902482
1301002;1653965.3543362767;923060.0090778391
1401001;1654989.4419545508;925074.6211724611
1401002;171575.43731769643;145690.37826710154
1401003;1530561.197910403;857539.4770078643
2101001;3937958.1763398023;2036749.2018331706
2201001;2518047.771217849;1469730.8665941101
2301001;346383.73133504624;281917.01662523544
2401001;2894037.8107964774;1847324.3077152115
2501001;953295.7209860987;735924.0793603412
2601001;421098.75162498775;221115.8586953081
2701001;3075823.0558342645;2594321.956320362
2701002;181305.28586858555;97576.07316592275
2801001;4187330.91549163;2709302.8554246803
2901001;1841657.5333374015;1057209.0147656382
3001001;3768243.1161001734;2802687.8988173795
3001002;3029392.037539721;2993163.5295335553
3001003;4668543.4494216805;2490996.1067902106
3101001;359659.58907914243;221450.8025937127
3101002;3388819.053179442;2337267.238814111
3201001;4807064.161429314;2546154.353934815
3301001;1331038.2428951263;897664.01365606
3301002;3684757.5307910726;2241374.7730457885
3401001;2500731.737013456;1764654.6090475486
3501001;6074711.544216903;3271119.684047537
3501002;2886024.594628866;2267093.402060223
3601001;4746384.252887507;3254382.818193162
3701001;2204499.371044022;1226915.7287254778
3801001;1537010.5737352257;1468247.1141237055
3901001;5611026.695095638;2855607.902522791
4001001;1667423.833866767;1225134.577831483
4101001;5807025.636093856;3507665.3757415833
4201001;970786.3458797624;774781.8884524272
4301001;4949519.578268041;3748886.109342574
4401001;3004635.198251672;2231669.767049661
5101001;4386955.11211326;3883406.9795985296
5101002;3094359.3392902575;2924414.6232342664
5201001;5488204.226115489;3569709.6595381163
5201002;3953475.66982832;2318777.1679277136
5201003;4302732.682512418;2548050.7351125996
5201004;3972255.318601869;3003431.482140783
5201005;6259006.626745266;4783200.50969452
5201006;3502499.7869658438;1853733.0349564813
5201007;912901.0496159695;780081.4841044336
5201008;2043924.4113902804;1511535.2027569467
5201009;3433741.4875339856;2433268.089342289
5201010;2782741.3371057506;2778389.6637600465
5201011;6639042.086073701;3373863.6054202
5301001;2984705.689057979;1977838.8853129921
5301002;2444463.5957861524;1534957.1488684844
5301003;5834400.5262254225;3559390.4946220624
5301004;4547382.5086055305;4177835.5099488017
5301005;146855.99077607717;135518.17465147297
5301006;8329789.452529308;4218549.12941096
5301007;1233678.1025884962;1071352.03498984
5301008;3207405.511469111;3128086.405143453
5301009;3699122.48691577;2957668.5018726713
5301010;65927.87032896174;65257.88869868094
5301011;5607643.731447411;3829955.8841666086
5301012;3329797.7641684213;1693678.6720892293
5301013;918467.7911144821;652627.4312554805
5301014;2510505.3631307306;2181109.7348175263
5401001;6504397.534116206;5384342.180388229
5401002;5013062.724399665;3623772.970928465
5401003;4233166.060254994;3461725.8721109377
5401004;2566922.9000122044;1437666.1989159144
5401005;2416969.706596718;1450506.5601260753
5401006;7605054.4163278835;4497078.850174164
5401007;3924165.087844858;3133356.5135427127
5401008;6393407.603370949;5009582.957329349
5501001;6546325.298450645;4571437.503553461
5501002;6759513.670614037;3583343.3576117894
5501003;3371974.542878215;2458819.30384772
5501004;1657474.0612668495;1516801.0846649518
5601001;2123780.5599834914;1762211.8687587231
5601002;5373373.454069768;3445406.8523804196
5601003;8109834.344438949;4560156.5848010965
5601004;4815501.3533164;3716258.769006777
5601005;4493696.257324252;3152859.1586823845
5601006;2148582.440743411;1339538.3166603367
5601007;3764553.8544110637;3423505.9254564615
5601008;4075854.3173874225;2971530.4696708806
5701001;6447447.293001927;5211687.296966645
5701002;4822117.33548234;3420472.4551230827
5801001;11300380.5951232;5700251.142095975
5801002;10529633.15108922;5710158.056830135
5801003;1450181.7854988794;955202.1629251174
5901001;7716709.228064463;5809694.163896643
6001001;3720032.599505367;2793422.725608273
6001002;2608475.1572697666;1310935.0570132176
6001003;7963040.0430760775;4127165.696366688
6101001;403213.20337497344;259211.03462258575
6201001;687860.7766383481;495518.2691007194
6201002;4129288.2820825735;2643821.086283426
6201003;1394648.5294943359;699463.1808369929
6201004;4648436.775983035;3139647.9097979
6201005;3058420.945314582;2358922.0881406935
6201006;5946753.281680756;3546536.427796021
6201007;2352274.2760071387;1445029.8755436777
6201008;1833929.4524555602;1016263.7846735725
6201009;6058849.029624238;4954951.1234639175
6201010;9389947.474919198;5471059.542146508
6201011;1316162.7589125044;885205.8142396202
6201012;5428570.77048966;3131269.4492759556
6201013;1492776.4932367757;1469643.7032176415
6201014;1235329.2008895508;698163.3437028824
6201015;5697763.012785287;3104373.4105130886
6201016;6450521.180851182;4110474.3827605145
6202017;5050278.784905362;4349454.95499931
6204018;4232404.70019663;3699870.909645257
6204019;4049385.6093765153;2148050.5515311416
6204020;5327560.226210664;2681314.0597694754
6301001;4898216.053782872;2745213.1764564724
6401001;3875394.507637918;2250358.2663757494
6401002;3848531.4898952832;2810979.1033243677
6401003;32248.534087824974;31409.353546056143
6401004;3096655.735737786;2628907.459609318
6401005;8125217.013366749;4379611.569470779
6501001;5837476.077281197;5538610.115526956
6601001;10588789.901369624;5771968.228009646
6601002;6594419.342564152;5240112.855830199
6601003;9871317.891793862;5081579.460878874
6601004;3715805.0543488674;2987852.3180131037
6601005;10046816.323355053;5026158.499706239
6601006;1275720.080134301;987556.6631990758
6601007;3839399.0596660324;2844320.9776155245
6601008;767700.0578542779;487513.2210717648
6601009;6450431.77368567;3917722.617639619
6601010;3319371.0256149536;3268923.139630401
6601011;3149582.2676373003;2611472.5784554533
6601012;8571232.847285938;4797354.57092383
6601013;1382330.6657446588;931070.9744845583
6601014;1010758.8673404208;905278.4736481128
6601015;1009740.4984417848;720953.5599859047
6601016;11059873.98140369;5574669.270779811
6601017;3839295.1104985964;3180329.8102650414
6601018;11811422.66470347;6434750.139659048
6701001;5122992.630303264;3085572.6513025654
6701002;10775095.45000867;5978109.110272291
6701003;2660526.875235187;2607786.3161755726
6801001;10616133.042407501;5859608.450460462
6801002;706905.27912367;597339.4030167371
6901001;4008243.7181954915;3102581.0581710725
6901002;2600980.9697649656;1808194.4331981607
6901003;2128829.37746347;1685943.9650350374
6901004;2369478.224916174;1287333.5474341987
6901005;7741733.11147681;6543130.013364872
6901006;9593635.899835914;4945435.079245734
6901007;2099660.983981478;1227555.839834542
6901008;6465991.829073656;4472002.50935693
6901009;7571918.70644224;4868710.28032695
6901010;161314.61892348746;152784.3817257874
6901011;5050187.049991508;4515734.525646665
6901012;7092779.080096655;4644722.832708655
6901013;2539731.5789932036;1631940.256955733
6901014;40052.933638737995;23927.814690309155
6901015;9144728.316016464;5607918.105696039
6901016;4796164.694085797;2803083.116655831
6901017;2626380.9710752615;2357864.502484266
6901018;3007291.7379678423;2238658.1102753407
6902019;8837517.110460976;5552868.869124378
7001001;7799439.098025201;6469503.266803373
7101001;10342776.230158098;5372206.183160502
7201001;1287602.9223783996;757925.631793041
7201002;387141.6515637527;355894.77645231684
8101001;6660863.559617287;4846355.49868608
8201001;7823733.585948819;3931999.535539228
8301001;7425888.737045199;3747551.905688568
8301002;9747527.238159267;5472136.044384367
8301003;7931046.161508718;6090920.079921414
8301004;5787468.1419846285;5734469.941777721
8301005;266456.7857619239;208330.06493207032
8401001;5194784.541959406;3138998.8923078123
8401002;6168534.256517824;3182454.0392943686
8401003;12301915.72889198;8026614.889549006
8401004;7952593.49870579;4837070.2360245045
8501001;1347597.6964752504;931784.0469628526
8501002;3822229.220163587;3612572.199673216
8601001;1014333.6458734275;784329.258170242
8601002;2483121.408467078;1785839.1121960983
8601003;5367845.665733556;3938686.5023641665
8601004;5405934.251525531;3215401.632266862
8601005;6940825.093693493;5188867.024304728
8701001;7054901.501685757;4031632.4847896714
8801001;3389479.398077771;2735539.1967501203
8801002;12391288.18258085;7615710.099403964
8901001;9885937.524386933;6720166.150927338
8901002;1286219.2021739583;733217.1185870135
8901003;17044485.05470708;8848297.09311607
8901004;8673150.35167948;5005599.985536801
9001001;3262473.765437073;2397194.466802241
9001002;9532806.050518302;6770164.556135019
9001003;2995209.7961753933;2769553.3651005942
9001004;4547765.770042761;2731929.382360447
9001005;1024999.0406922799;688873.7482007561
9001006;9683502.087894293;6287667.885217123
9001007;2047426.0411386194;1131976.6554766744
9101001;11851590.844242841;7699586.500555559
9101002;11082031.496758204;6871214.285152947
9201001;4977915.598308579;3416098.6067486154
9201002;7339753.107049118;5038241.889366273
9201003;2920395.4762345124;2241238.849876643
9201004;13353060.376456717;8447099.487371571
9201005;5917990.16233578;4098649.1557005392
9301001;7603818.972374969;5102978.407008855
9401001;2332962.366168884;1741777.4338064136
9401002;5782105.429178484;4983798.5209352495
9401003;13944832.381384168;9102459.596532812
9501001;9431985.653907454;9245581.878654003
9601001;2990145.0181463673;1619889.6250765799
9601002;6473620.802353156;5672355.7844619155
9601003;9430206.750541368;6902476.978065986
9601004;9242029.545325514;4854890.944253261
9601005;5979204.427831919;3554557.3028292195
9601006;2572961.4958226145;2205351.063302322
9601007;3011597.78803457;2132691.434177252
9601008;895321.0883507441;622473.5922843347
9601009;5256541.742725751;4159657.6985871685
9601010;8279500.516911166;5919289.436634335
9601011;12581134.080664083;8400936.115748024
9601012;8973141.484782528;6479088.393825459
9601013;9995398.590197384;7307089.271126954
9601014;1943674.004009473;1901284.4420736507
9601015;9815749.070020808;5615549.771173245
9601016;7108313.20477754;3807344.564292982
9601017;104542.84065366714;81387.01912604239
9701001;5730142.509751089;4419548.765559506
9701002;1751676.0035919533;1661986.1283635278
9701003;11497771.020066626;7645527.202595784
9701004;11956085.513911763;7021295.940265286
9701005;6959152.793534961;6758195.940724755
9701006;4022136.936496328;2234105.793392619
9701007;4587655.57099767;4380802.355798606
9701008;916057.4658602175;865932.2238969882
9701009;8186588.658662456;5317999.614930834
9801001;1707597.6171748035;1264184.0809530318
9901001;9868259.678757958;6163468.803133172
10001001;2366169.290324438;1280476.6937639518
10001002;8553045.310293391;5992656.684211724
10101001;15356844.882044556;7714173.213084639
10101002;57238.11638927362;41000.73696495807
10101003;2299524.7127278247;1280985.118274062
10201001;13922559.835189465;9686434.654399924
11101001;6422609.539565718;5947859.197121807
11101002;2120688.2592000375;1378977.4759723335
11101003;10487548.532918029;5668618.822013778
11101004;5251058.54599784;4640931.503755866
11201001;11409186.84137392;9727035.366448482
11201002;19964387.54464559;10161838.736692265
11201003;11700577.367645565;10135470.370040487
11201004;6111206.090101049;4688463.97977885
11201005;17802048.19877019;10811285.505456438
11201006;12898487.003602229;10451215.294373333
11301001;13041994.842290908;10291530.097420301
11301002;1056011.8365854793;536738.0336119258
11301003;5445704.764943411;3018608.666518818
11301004;8797630.942533348;7193581.004972679
11301005;11105328.889796367;7167960.444146111
11301006;5902019.983072725;5733185.940331943
11301007;10601474.395858176;7518262.362504304
11401001;5143858.4074148685;3042928.61999802
11401002;8933929.643717576;6475603.843872192
11401003;13186342.644443335;7317698.441440964
11501001;1865579.1639806796;1321539.103092981
11501002;3904899.825336786;2358758.557723344
11501003;6701879.823288315;4066751.88597693
11501004;8265696.126323073;5675016.397286417
11501005;2297611.9101938657;1421538.451551566
11501006;34062.596389360246;18938.722933233214
